id,name,category,website,city,address
11212,"Ratchada Thai & Laos Cuisine",restaurant,http://www.ratchada.net/,Philadelphia,
11213,"Every Thai",restaurant,https://everythaiphilly.com/,Philadelphia,
11214,"Pattaya Thai Cuisine",restaurant,http://www.pattayarestaurant.com/,Philadelphia,
11215,"Erawan Thai Cuisine (Philadelphia)",restaurant,http://www.erawanphiladelphia.com/,Philadelphia,
11216,Manorah,restaurant,https://manorahthai.com/,Philadelphia,
11217,"House of Thai Cuisine",restaurant,https://www.houseofthaipa.com/,Philadelphia,
11218,"Sichuan Mathai 川马泰",restaurant,https://sichuanmathai.wordpress.com/,Philadelphia,
11219,"Chon Tong Thai Kitchen and Dessert",restaurant,http://www.chontongthai.com/,Philadelphia,
11220,"Vientiane Café",restaurant,http://www.vientiane-cafe.com/,Philadelphia,
11221,"Little Thai Market",restaurant,https://readingterminalmarket.org/merchant/little-thai-market/,Philadelphia,
11222,"Thai Square Restaurant",restaurant,http://www.thaisquarephilly.com/,Philadelphia,
11223,"Vientiane Bistro",restaurant,https://www.vientianebistro.com/,Philadelphia,
11224,"Sukho Thai Restaurant",restaurant,https://www.sukhothainj.com/,Philadelphia,
11225,"Golden Triangle",restaurant,http://www.goldentrianglepa.net/,Philadelphia,
11226,"Amma's South Indian Cuisine",restaurant,https://ammasrestaurants.com/,Philadelphia,
11227,"Thanal Indian Tavern",restaurant,https://thanalphilly.com/,Philadelphia,
11228,"Turmeric Indian Kitchen",restaurant,http://www.turmericphilly.com/,Philadelphia,
11229,"Veda - Modern Indian Bistro",restaurant,https://www.vedaphilly.com/?utm_source=GMB&utm_medium=GMB&utm_campaign=GMB&utm_term=veda+modern+indian+bistro,Philadelphia,
11230,"Tiffin Indian Cuisine Fairmount",restaurant,http://www.tiffin.com/,Philadelphia,
11231,"Masala Fusion Indian Restaurant",restaurant,https://order.online/business/masala-fusion-14317507,Philadelphia,
11232,"New Indian Sizzler",restaurant,https://www.newindiansizzler.com/,Philadelphia,
11233,DABBAWALA,restaurant,https://www.dabbawalaphiladelphia.com/,Philadelphia,
11234,"Saffron Indian Kitchen",restaurant,https://saffronofphilly.com/saffron-philly?utm_source=google,Philadelphia,
11235,"Indian Kitchen Lovash",restaurant,http://www.lovashrestaurant.com/,Philadelphia,
11236,"Sura Indian Bistro",restaurant,https://www.surabistro.com/,Philadelphia,
11237,"Vijayawada Mess Indian Cuisine",restaurant,https://www.vijayawadaindiancuisine.com/,Philadelphia,
11238,"Tikka Mahal - Modern Indian Restaurant",restaurant,https://www.tikkamahal.com/,Philadelphia,
11239,"Raindrops Indian Restaurant",restaurant,https://raindropsindianrestaurant.com/,Philadelphia,
11240,"Virasat Haveli",restaurant,https://havelivirasat.com/,Philadelphia,
11241,"Indian Char House",restaurant,http://www.indiancharhouse.com/,Philadelphia,
11242,"CURRY LEAF NEPALI & INDIAN CUISINE",restaurant,https://curryleafphiladelphia.com/,Philadelphia,
11243,"Masala Kitchen : Kati Rolls & Platters",restaurant,https://www.masalakitchen.com/,Philadelphia,
11244,"New Delhi Indian Restaurant",restaurant,http://www.newdelhiweb.com/,Philadelphia,
11245,"Manayunk Indian grille",restaurant,https://www.manayunkindiangrille.com//,Philadelphia,
11246,Forsythia,restaurant,https://www.forsythiaphilly.com/,Philadelphia,
